"Camera","Species","Events","EffortHours","Lambda","Tau","RelDensity"
11,"corvid",43,264409.674444444,0.000162626424658432,38.3255813953488,4.24328656572365e-06
11,"deer",47,264409.674444444,0.000177754464161542,46.4893617021277,3.82355140301715e-06
11,"rodent",35,264409.674444444,0.000132370345652212,48.9714285714286,2.70301172568695e-06
11,"boar",30,264409.674444444,0.000113460296273325,51,2.22471169163382e-06
11,"person",20,264409.674444444,7.56401975155498e-05,43.25,1.74890630093757e-06
11,"dog",13,264409.674444444,4.91661283851074e-05,55.5384615384615,8.85262699454842e-07
11,"vehicle",1,264409.674444444,3.78200987577749e-06,5,7.56401975155498e-07
11,"rabbit",9,264409.674444444,3.40380888819974e-05,47,7.24214657063775e-07
11,"other",7,264409.674444444,2.64740691304424e-05,51.7142857142857,5.11929513572091e-07
11,"skunk",5,264409.674444444,1.89100493788875e-05,58.8,3.2159947923278e-07
11,"bobcat",4,264409.674444444,1.512803950311e-05,60,2.52133991718499e-07
11,"human",4,264409.674444444,1.512803950311e-05,60,2.52133991718499e-07
11,"beaver",3,264409.674444444,1.13460296273325e-05,60,1.89100493788875e-07
11,"reptile",2,264409.674444444,7.56401975155498e-06,60,1.2606699585925e-07
11,"squirrel",2,264409.674444444,7.56401975155498e-06,60,1.2606699585925e-07
11,"opossum",1,264409.674444444,3.78200987577749e-06,60,6.30334979296248e-08
11,"weasel",1,264409.674444444,3.78200987577749e-06,60,6.30334979296248e-08
12,"boar",49,194737.442777778,0.000251620845488434,27.7551020408163,9.06575105068623e-06
12,"raccoon",44,194737.442777778,0.000225945249010022,26.4772727272727,8.53355446904806e-06
12,"unidentified animal",48,194737.442777778,0.000246485726192752,45.6041666666667,5.40489486397994e-06
12,"coyote",38,194737.442777778,0.000195134533235928,43.3421052631579,4.50219323798742e-06
12,"deer",40,194737.442777778,0.000205404771827293,46.15,4.45080762355998e-06
12,"person",23,194737.442777778,0.000118107743800694,28.0869565217391,4.20507446968414e-06
12,"bobcat",17,194737.442777778,8.72970280265996e-05,22,3.9680467284818e-06
12,"other",11,194737.442777778,5.64863122525056e-05,47.4545454545455,1.19032458769648e-06
12,"bird",8,194737.442777778,4.10809543654586e-05,38,1.08107774645944e-06
12,"dog",11,194737.442777778,5.64863122525056e-05,54.8181818181818,1.03043024009546e-06
12,"fox",11,194737.442777778,5.64863122525056e-05,55,1.02702385913647e-06
12,"rabbit",7,194737.442777778,3.59458350697763e-05,43.2857142857143,8.30431833295162e-07
12,"skunk",6,194737.442777778,3.0810715774094e-05,60,5.13511929568233e-07
12,"opossum",2,194737.442777778,1.02702385913647e-05,30.5,3.36729134143104e-07
12,"human",3,194737.442777778,1.5405357887047e-05,60,2.56755964784116e-07
12,"corvid",2,194737.442777778,1.02702385913647e-05,60,1.71170643189411e-07
12,"cougar",2,194737.442777778,1.02702385913647e-05,60,1.71170643189411e-07
12,"rodent",2,194737.442777778,1.02702385913647e-05,60,1.71170643189411e-07
12,"reptile",1,194737.442777778,5.13511929568233e-06,60,8.55853215947055e-08
13,"unidentified animal",528,264428.845555556,0.00199675643892288,54.4223484848485,3.66900086915358e-05
13,"raccoon",364,264428.845555556,0.00137655178743926,49.8021978021978,2.76403823161899e-05
13,"coyote",243,264428.845555556,0.000918961770186099,45.5473251028807,2.01759767035799e-05
13,"deer",185,264428.845555556,0.000699621100758965,49.227027027027,1.42121339234005e-05
13,"boar",165,264428.845555556,0.000623986387163401,45.2484848484848,1.37902161642059e-05
13,"bird",134,264428.845555556,0.000506752581090277,53.9701492537313,9.38949749254662e-06
13,"rabbit",78,264428.845555556,0.000294975383022699,56.3076923076923,5.23863385149601e-06
13,"human",57,264428.845555556,0.000215558933747357,49.9473684210526,4.31572153972579e-06
13,"bobcat",49,264428.845555556,0.000185305048309131,48.6938775510204,3.80551021255131e-06
13,"rodent",50,264428.845555556,0.000189086783988909,56.1,3.37053090889321e-06
13,"other",52,264428.845555556,0.000196650255348466,59.5192307692308,3.30397844204207e-06
13,"dog",25,264428.845555556,9.45433919944547e-05,58.44,1.61778562618848e-06
13,"squirrel",18,264428.845555556,6.80712422360074e-05,56.1666666666667,1.21195090034434e-06
13,"person",11,264428.845555556,4.15990924775601e-05,35,1.18854549935886e-06
13,"skunk",13,264428.845555556,4.91625638371164e-05,52.9230769230769,9.28943793433886e-07
13,"opossum",11,264428.845555556,4.15990924775601e-05,60,6.93318207959334e-07
13,"fox",8,264428.845555556,3.02538854382255e-05,54.375,5.56393295415641e-07
13,"beaver",7,264428.845555556,2.64721497584473e-05,49.1428571428571,5.38677466014916e-07
13,"cougar",8,264428.845555556,3.02538854382255e-05,60,5.04231423970425e-07
13,"corvid",3,264428.845555556,1.13452070393346e-05,60,1.89086783988909e-07
13,"cat",1,264428.845555556,3.78173567977819e-06,60,6.30289279963031e-08
13,"reptile",1,264428.845555556,3.78173567977819e-06,60,6.30289279963031e-08
13,"vehicle",1,264428.845555556,3.78173567977819e-06,60,6.30289279963031e-08
14,"unidentified animal",591,265886.120555556,0.00222275611365172,57.0981387478849,3.89286964933521e-05
14,"bird",166,265886.120555556,0.000624327436321804,55.1144578313253,1.13278341271636e-05
14,"rodent",125,265886.120555556,0.000470126081567623,55.424,8.48235568648281e-06
14,"coyote",114,265886.120555556,0.000428754986389672,53.5614035087719,8.00492441015766e-06
14,"raccoon",95,265886.120555556,0.000357295821991394,49.1684210526316,7.26677437147985e-06
14,"boar",86,265886.120555556,0.000323446744118525,46.5813953488372,6.94368946435175e-06
14,"deer",83,265886.120555556,0.000312163718160902,50.9397590361446,6.1280956971038e-06
14,"rabbit",80,265886.120555556,0.000300880692203279,50.05,6.01160224182375e-06
14,"corvid",38,265886.120555556,0.000142918328796557,52.6842105263158,2.71273551162297e-06
14,"bobcat",29,265886.120555556,0.000109069250923689,50.9655172413793,2.1400597271901e-06
14,"person",25,265886.120555556,9.40252163135246e-05,45.68,2.05834536588276e-06
14,"other",27,265886.120555556,0.000101547233618607,53.8518518518519,1.88567765316532e-06
14,"opossum",21,265886.120555556,7.89811817033607e-05,43.1904761904762,1.8286712412024e-06
14,"dog",24,265886.120555556,9.02642076609837e-05,51.625,1.74845922829993e-06
14,"human",8,265886.120555556,3.00880692203279e-05,60,5.01467820338798e-07
14,"skunk",4,265886.120555556,1.50440346101639e-05,45.75,3.28831357599212e-07
14,"fox",3,265886.120555556,1.1283025957623e-05,60,1.88050432627049e-07
14,"reptile",2,265886.120555556,7.52201730508197e-06,60,1.253669550847e-07
14,"squirrel",2,265886.120555556,7.52201730508197e-06,60,1.253669550847e-07
14,"beaver",1,265886.120555556,3.76100865254099e-06,60,6.26834775423498e-08
14,"cow",1,265886.120555556,3.76100865254099e-06,60,6.26834775423498e-08
14,"raptor",1,265886.120555556,3.76100865254099e-06,60,6.26834775423498e-08
